customer_id,account_id,account_status,checks_returned_last_year,checks_returned_this_year,account_closed_reason,current_rate,date_last_deposit,date_open,date_overdrawn_closed,date_reopened,days_nsf_since_open,branch_id,officer_id,igl,interest_paid_this_statement,nsf_items_paid_last_statement,nsf_items_paid_current_std,nsf_items_retuned_last_statement,nsf_items_returned_current_statement,number_days_od_current_statement,overdraft_days_last_statement,overdraft_days_since_open,account_type,accured_interest,average_bal_6_statements_ago,average_bal_12_statements_ago,average_bal_last_statement,current_balance,daily_interest,interest_paid_last_statement,interest_paid_last_year,interest_paid_this_year,minimum_balance_last_statement,minimum_balance_this_statement,nsf_charges_1_statement_ago,nsf_charges_2_statement_ago,nsf_charges_3_statement_ago,nsf_charges_waived_1_statement_ago,nsf_charges_waived_2_statement_ago,nsf_charges_waived_3_statement_ago,nsf_fees_refunded_last_year,nsf_fees_refunded_month_to_date,nsf_fees_refunded_statement_to_date,nsf_fees_refunded_year_to_date,other_fees_1_statement_ago,other_fees_2_statement_ago,other_fees_3_statement_ago,other_fees_refunded_mtd,other_fees_refunded_statement_too_date,other_fees_refunded_year_to_date,other_fees_returned_last_year,other_fees_waived_1_statement_ago,other_fees_waived_2_statement_ago,other_fees_waived_3_statement_ago,sc_fees_refunded_last_year,sc_fees_refunded_month_to_date,sc_fees_refunded_statement_to_date,sc_fees_refunded_year_to_date,city,state,zip
cif_cust_id_13682,dda_acct_id_07780, ,0,0,,0,4/23/2026,6/5/2023,,,0,branch_id_18,officer_id_056,2,0,0,0,0,0,0,0,0,Commercial,0,66370,72976,109940,227797.14,0,0,0,0,73092,86826.62,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,SALEM                                   ,OR,973020406
cif_cust_id_13682,dda_acct_id_07781, ,0,0,,3.31,2/24/2026,3/22/2024,,,0,branch_id_18,officer_id_056,11,0,0,0,0,0,0,0,0,Commercial,517.99,250119,218981,247380,248099.13,22.54,718.89,6458.92,1650.21,247380,248099.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SALEM                                   ,OR,973020406
cif_cust_id_13683,dda_acct_id_07782, ,0,0,,0,4/1/2026,5/12/2022,,,0,branch_id_18,officer_id_056,1,0,0,0,0,0,0,0,0,Personal,0,55267,55739,65159,71930.95,0,0,0,0,62384,71930.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SALEM                                   ,OR,973063077
cif_cust_id_13687,dda_acct_id_07783,Close,0,0,Consolidated with other PBOC Account,0,12/30/2025,8/6/2020,4/20/2026,,0,branch_id_06,officer_id_016,1,0,0,0,0,0,0,0,0,Personal,0,35591,37994,74224,0,0,0,28.77,9.15,74221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL POINT                           ,OR,975023367
cif_cust_id_13687,dda_acct_id_07784, ,0,0,,0,4/20/2026,4/20/2026,,,0,branch_id_06,officer_id_016,1,0,0,0,0,0,0,0,0,Personal,0,0,0,0,74230.24,0,0,0,0,0,74230.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL POINT                           ,OR,975022430
cif_cust_id_13687,dda_acct_id_07785, ,0,0,,0,4/20/2026,4/20/2026,,,0,branch_id_06,officer_id_016,1,0,0,0,0,0,0,0,0,Personal,0,0,0,0,3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL POINT                           ,OR,975022430
cif_cust_id_13688,dda_acct_id_07786, ,0,0,,0,4/17/2026,12/14/2007,,,0,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,0,Commercial,0,26918,42311,34158,23232.81,0,0,0,0,14413,23232.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975010017
cif_cust_id_13688,dda_acct_id_07787, ,0,0,,1.1,3/3/2026,7/10/2009,,,0,branch_id_05,officer_id_012,11,0,0,0,0,0,0,0,0,Commercial,49.13,28777,38368,83906,70862.6,2.14,80.96,528.24,99.79,10781,70862.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975010017
cif_cust_id_13690,dda_acct_id_07788, ,0,0,,0,4/6/2026,7/19/2012,,,0,branch_id_03,officer_id_032,2,0,0,0,0,0,0,0,0,Commercial,0,41868,37640,44406,46084.59,0,0,0,0,41751,46084.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASHLAND                                 ,OR,975202186
cif_cust_id_13691,dda_acct_id_07789, ,0,0,,0.1,4/13/2026,2/5/2026,,,0,branch_id_04,officer_id_039,11,0,0,0,0,0,0,0,0,Commercial,0.38,0,6176,6177,6177.77,0.02,0.54,0,0.93,6177,5177.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WHITE CITY                              ,OR,975030005
cif_cust_id_13691,dda_acct_id_07790, ,0,0,,0,4/23/2026,2/5/2026,,,0,branch_id_04,officer_id_010,2,0,0,0,0,0,0,0,0,Commercial,0,0,6487,6166,27837.68,0,0,0,0,3469,3268.86,0,0,0,0,0,0,0,0,0,0,0,0,45.51,0,0,0,0,0,0,0,0,0,0,0,WHITE CITY                              ,OR,975030005
cif_cust_id_13691,dda_acct_id_07791,Close,1,0,Other _ Contact Branch for details,0,2/3/2026,4/22/2004,2/6/2026,,10,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,27,Commercial,0,1740,12383,10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975010099
cif_cust_id_13691,dda_acct_id_07792,Close,0,0,Other _ Contact Branch for details,0,11/27/2020,6/6/2007,2/6/2026,,0,branch_id_05,officer_id_012,11,0,0,0,0,0,0,0,0,Commercial,0,15315,17365,5147,0,0,0,21.22,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,975010099
